complaint_id,language,region,complaint_text,translated_text_en,category,sentiment,urgency,order_id,amount_inr,channel,reply
CMP00001,English,Bangalore,"I ordered a high-end laptop for my work, but the package delivered today was empty. I am shocked and disgusted by this level of service. I demand an immediate investigation and a replacement. This is a huge amount of money for me.","I ordered a high-end laptop for my work, but the package delivered today was empty. I am shocked and disgusted by this level of service. I demand an immediate investigation and a replacement. This is a huge amount of money for me.",fraud,negative,high,ORD5521,75000,Web,We are extremely sorry for this experience. We have initiated an internal investigation immediately.
CMP00002,English,Mumbai,"My flight to London was cancelled by the airline, but your portal is refusing to give me a full refund. I have been on hold for over forty minutes. This is completely unacceptable and I will take legal action if this isn't resolved. I need my 65000 rupees back now.","My flight to London was cancelled by the airline, but your portal is refusing to give me a full refund. I have been on hold for over forty minutes. This is completely unacceptable and I will take legal action if this isn't resolved. I need my 65000 rupees back now.",travel_refund,negative,high,FLY9922,65000,Phone,We apologize for the wait. Your refund is being processed as per the airline's policy.
CMP00003,English,Chennai,The refrigerator I purchased last week stopped working within two days. All my food items have spoiled and the house smells terrible. I have raised three tickets but no technician has visited yet. Your after-sales service is pathetic.,The refrigerator I purchased last week stopped working within two days. All my food items have spoiled and the house smells terrible. I have raised three tickets but no technician has visited yet. Your after-sales service is pathetic.,product_quality,negative,high,REF1102,32000,Chat,We regret the inconvenience caused. A senior technician has been assigned for a visit today.
CMP00004,English,Hyderabad,I was charged for a premium subscription that I never signed up for. This is a fraudulent deduction from my saved credit card. I want this subscription cancelled and the money refunded immediately. I never even opened your app this month.,I was charged for a premium subscription that I never signed up for. This is a fraudulent deduction from my saved credit card. I want this subscription cancelled and the money refunded immediately. I never even opened your app this month.,billing_issue,negative,high,SUB441,1499,Email,We have cancelled the subscription and initiated a refund for the unauthorized charge.
CMP00005,English,Kolkata,The delivery partner was extremely rude and used foul language when I asked him to wait for two minutes. He threw the package near the gate and drove off. The item inside is now broken. I expect a formal apology and a replacement.,The delivery partner was extremely rude and used foul language when I asked him to wait for two minutes. He threw the package near the gate and drove off. The item inside is now broken. I expect a formal apology and a replacement.,delivery_personnel,negative,medium,ORD778,1200,Twitter,We are deeply sorry for the behavior. We are taking strict action against the delivery partner.
CMP00006,English,Pune,I received a used and dirty pair of shoes instead of a brand new one. There are even scuff marks on the soles. How can you ship such products to your loyal customers? This is a total waste of my time and energy.,I received a used and dirty pair of shoes instead of a brand new one. There are even scuff marks on the soles. How can you ship such products to your loyal customers? This is a total waste of my time and energy.,product_issue,negative,medium,ORD661,4500,App,This is not the experience we want for you. Please share photos and we will replace them.
CMP00007,English,Ahmedabad,Your mobile application keeps crashing every time I try to complete the KYC process. I have tried clearing the cache and reinstalling but nothing works. My account is blocked and I cannot access my funds. This is very urgent for me.,Your mobile application keeps crashing every time I try to complete the KYC process. I have tried clearing the cache and reinstalling but nothing works. My account is blocked and I cannot access my funds. This is very urgent for me.,technical_issue,negative,high,ACC009,0,App,Our technical team is looking into the app bug. Please try the website in the meantime.
CMP00008,English,Delhi,I have not received the 5000 rupees cashback promised during the festive sale. I made the purchase specifically for this offer. Your support team keeps telling me to wait for 48 hours but it has been two weeks. Don't mislead your customers.,I have not received the 5000 rupees cashback promised during the festive sale. I made the purchase specifically for this offer. Your support team keeps telling me to wait for 48 hours but it has been two weeks. Don't mislead your customers.,promotional_issue,negative,medium,ORD221,25000,Web,We apologize for the delay in credit. The cashback will reflect in your wallet by tomorrow.
CMP00009,Hindi,Lucknow,मैंने 10 दिन पहले एक कूलर ऑर्डर किया था जो अभी तक डिलीवर नहीं हुआ है। कस्टमर केयर वाले रोज़ नया बहाना बनाते हैं। धूप में मेरी हालत खराब हो रही है और आप लोग बस इंतज़ार करने को कह रहे हैं। ये बिल्कुल गलत है।,I ordered a cooler 10 days ago which has not been delivered yet. Customer care makes a new excuse every day. I am suffering in the heat and you people are just asking me to wait. This is absolutely wrong.,delivery_issue,negative,high,ORD8812,8500,Phone,असुविधा के लिए माफी। आपका कूलर आज शाम तक पहुंच जाएगा।
CMP00010,Hindi,Patna,मेरे बैंक अकाउंट से 2000 रुपये कट गए लेकिन बिजली का बिल अभी भी पेंडिंग दिखा रहा है। न तो पैसे वापस आए और न ही बिल भरा गया। अगर मेरी बिजली कट गई तो इसका ज़िम्मेदार कौन होगा? कृपया इसे तुरंत ठीक करें।,2000 rupees were deducted from my bank account but the electricity bill is still showing as pending. Neither did the money come back nor was the bill paid. Who will be responsible if my power is cut? Please fix this immediately.,payment_failure,negative,high,TXN551,2000,WhatsApp,"कृपया परेशान न हों। हम आपके भुगतान को अपडेट कर रहे हैं, इसमें थोड़ा समय लग सकता है।"
