complaint_id,language,region,complaint_text,translated_text_en,category,sentiment,urgency,order_id,amount_inr,channel,reply
C0001,hinglish,Kolkata,"Mera order 7 din baad bhi deliver nahi hua, please check once. Ye mere liye kaafi urgent hai.",Customer reports a delivery issue issue involving about ₹850 and wants a quick resolution.,delivery_issue,neutral,medium,9884358,850,app,"Sorry for the delay, we are checking your delivery status and will update soon."
C0002,en,Mumbai,App keeps crashing whenever I try to pay. Kindly fix this soon.,App keeps crashing whenever I try to pay. Kindly fix this soon.,technical_issue,negative,low,3950372,1250,branch,"Sorry for the technical issue, our team is checking this and will fix it soon."
C0003,en,Kolkata,"Network drops every few minutes, calls not stable. This is very urgent for me.","Network drops every few minutes, calls not stable. This is very urgent for me.",technical_issue,neutral,low,1988081,3820,phone,"Sorry for the technical issue, our team is checking this and will fix it soon."
C0004,hinglish,Jaipur,Delivery marked ho gaya hai lekin mujhe kuch receive nahi hua.,Customer reports a delivery issue issue involving about ₹1450 and wants a quick resolution.,delivery_issue,negative,low,5917309,1450,phone,"We apologize for the delivery issue, our team is coordinating with the courier right now."
C0005,hi,Bengaluru,UPI पेमेंट फेल दिखा रहा है लेकिन पैसे अकाउंट से कट गए। इसे जल्द से जल्द ठीक करें।,Customer reports a payment issue issue involving about ₹1600 and wants a quick resolution.,payment_issue,negative,high,997416,1600,phone,"Sorry about the payment problem, we are verifying the transaction and will resolve it quickly."
C0006,en,Pune,Return pickup ho gaya lekin refund status stuck on processing.,Return pickup ho gaya lekin refund status stuck on processing.,refund_request,negative,high,3789430,7140,app,"We are sorry for the delay, your refund is being processed on priority."
C0007,en,Hyderabad,"Network drops every few minutes, calls not stable. Please help quickly.","Network drops every few minutes, calls not stable. Please help quickly.",technical_issue,negative,medium,6694259,3820,app,"Sorry for the technical issue, our team is checking this and will fix it soon."
C0008,hinglish,Jaipur,KYC upload kiya tha fir bhi pending status hi aa raha hai. Ye mere liye kaafi urgent hai.,Customer reports a account issue issue involving about ₹280 and wants a quick resolution.,account_issue,negative,high,7886134,280,chat,"Sorry for the trouble with your account, we are reviewing it and will restore access soon."
C0009,hinglish,Hyderabad,Mobile number change karne ka option error de raha hai. Please jaldi help karo.,Customer reports a account issue issue involving about ₹780 and wants a quick resolution.,account_issue,neutral,medium,4308592,780,app,"Sorry for the trouble with your account, we are reviewing it and will restore access soon."
C0010,hinglish,Kolkata,Box theek tha lekin andar product tutा hua mila.,Customer reports a damaged product issue involving about ₹14860 and wants a quick resolution.,damaged_product,positive,low,4344037,14860,app,"We regret this issue, kindly raise a return and we will process it quickly."
C0011,hinglish,Mumbai,Bill pay kar diya fir bhi app pending payment dikha raha hai. Isko jaldi resolve karo please.,Customer reports a payment issue issue involving about ₹2610 and wants a quick resolution.,payment_issue,negative,high,7047228,2610,app,"We understand your concern, our payments team is checking this and will update you shortly."
